Step    139 | lr=9.685e-05 | loss=2017.52 | e_loss=18137.2 | f_loss=1.81316 | f_rmse=1.3465 | pref_e=0.1013 pref_f=99.89 | diff=0.000e+00
Step    140 | lr=9.683e-05 | loss=1267.28 | e_loss=10923 | f_loss=1.61397 | f_rmse=1.2704 | pref_e=0.1013 pref_f=99.89 | diff=0.000e+00
Step    141 | lr=9.681e-05 | loss=2747.88 | e_loss=24347.1 | f_loss=2.82586 | f_rmse=1.6810 | pref_e=0.1013 pref_f=99.89 | diff=0.000e+00
Step    142 | lr=9.678e-05 | loss=2191.9 | e_loss=17752.9 | f_loss=3.94373 | f_rmse=1.9859 | pref_e=0.1013 pref_f=99.89 | diff=0.000e+00
Step    143 | lr=9.676e-05 | loss=3273.91 | e_loss=30923.5 | f_loss=1.41917 | f_rmse=1.1913 | pref_e=0.1013 pref_f=99.89 | diff=0.000e+00
Step    144 | lr=9.674e-05 | loss=3079.15 | e_loss=29031.8 | f_loss=1.38503 | f_rmse=1.1769 | pref_e=0.1013 pref_f=99.88 | diff=0.000e+00
Step    145 | lr=9.672e-05 | loss=4545.48 | e_loss=43263.4 | f_loss=1.62878 | f_rmse=1.2762 | pref_e=0.1013 pref_f=99.88 | diff=0.000e+00
Step    146 | lr=9.669e-05 | loss=3820.98 | e_loss=35922.5 | f_loss=1.81735 | f_rmse=1.3481 | pref_e=0.1013 pref_f=99.88 | diff=0.000e+00
Step    147 | lr=9.667e-05 | loss=5249.47 | e_loss=50175.6 | f_loss=1.65723 | f_rmse=1.2873 | pref_e=0.1013 pref_f=99.88 | diff=0.000e+00
Step    148 | lr=9.665e-05 | loss=3378.75 | e_loss=31864.4 | f_loss=1.50046 | f_rmse=1.2249 | pref_e=0.1013 pref_f=99.88 | diff=0.000e+00
Step    149 | lr=9.663e-05 | loss=4437.32 | e_loss=40164.7 | f_loss=3.67422 | f_rmse=1.9168 | pref_e=0.1013 pref_f=99.88 | diff=0.000e+00
Step    150 | lr=9.661e-05 | loss=5855.97 | e_loss=50725.1 | f_loss=7.15838 | f_rmse=2.6755 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    151 | lr=9.658e-05 | loss=4807.84 | e_loss=45892.8 | f_loss=1.56379 | f_rmse=1.2505 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    152 | lr=9.656e-05 | loss=4152.53 | e_loss=39257.3 | f_loss=1.73301 | f_rmse=1.3164 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    153 | lr=9.654e-05 | loss=5061.99 | e_loss=48638.6 | f_loss=1.31321 | f_rmse=1.1460 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    154 | lr=9.652e-05 | loss=4713.35 | e_loss=44842.8 | f_loss=1.67124 | f_rmse=1.2928 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    155 | lr=9.649e-05 | loss=5291.64 | e_loss=50070.2 | f_loss=2.15038 | f_rmse=1.4664 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    156 | lr=9.647e-05 | loss=4917.69 | e_loss=46896.1 | f_loss=1.62435 | f_rmse=1.2745 | pref_e=0.1014 pref_f=99.88 | diff=0.000e+00
Step    157 | lr=9.645e-05 | loss=4395.14 | e_loss=38872.7 | f_loss=4.53518 | f_rmse=2.1296 | pref_e=0.1014 pref_f=99.87 | diff=0.000e+00
Step    158 | lr=9.643e-05 | loss=3052.29 | e_loss=28468.1 | f_loss=1.65204 | f_rmse=1.2853 | pref_e=0.1014 pref_f=99.87 | diff=0.000e+00
